ID,Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
42,Old Town,Mumbai,700,4.5,5138,Croissant,Gluten-Free,40-50 min,Wouldn't order again.
43,Business District,Pune,900,5.0,7443,Dal Makhani,Vegan,40-50 min,Perfectly cooked and well-seasoned.
44,Business District,Chennai,700,3.5,5268,Grilled Cheese,Fast Food,20-30 min,Delicious and fresh.
45,Old Town,Ahmedabad,300,4.0,3112,Greek Salad,Vegetarian,50-60 min,Nothing special but edible.
46,Suburb,Ahmedabad,900,4.7,3745,Ice Cream Sundae,Non-Vegetarian,30-40 min,Worst experience ever.
47,Suburb,Bangalore,800,4.5,1276,French Fries,Healthy,20-30 min,Superb packaging and presentation.
48,Residential Area,Kolkata,500,3.0,2259,Pancakes,Healthy,30-40 min,Best meal I've had in a while!
49,Downtown,Bangalore,1000,4.7,7585,Pasta Alfredo,Healthy,50-60 min,Highly recommended!
50,Old Town,Kolkata,200,4.0,8925,Croissant,Healthy,50-60 min,My new favorite dish!
51,Downtown,Bangalore,900,3.0,8243,Burrito,Non-Vegetarian,50-60 min,Wouldn't order again.
52,Tech Park,Delhi,500,4.0,4116,Pho,Fast Food,30-40 min,Standard quality.
53,Suburb,Hyderabad,700,4.5,6296,Pho,Vegan,50-60 min,A decent meal.
54,Old Town,Kolkata,700,3.5,1407,Sushi,Non-Vegetarian,20-30 min,My new favorite dish!
55,Downtown,Bangalore,800,4.0,8506,Pepperoni Pizza,Non-Vegetarian,50-60 min,Absolutely loved it!
56,Tech Park,Chennai,200,3.0,138,Falafel Wrap,Vegan,40-50 min,Average taste.
57,Tech Park,Hyderabad,800,4.0,4433,Tandoori Chicken,Vegan,50-60 min,Amazing taste and quick delivery.
58,Suburb,Ahmedabad,200,5.0,688,Tacos,Non-Vegetarian,40-50 min,A decent meal.
59,Downtown,Mumbai,500,4.0,8218,Waffles,Non-Vegetarian,40-50 min,Delicious and fresh.
60,Old Town,Pune,400,4.0,1173,Fruit Bowl,Vegan,40-50 min,"Good, but nothing extraordinary."
61,Suburb,Chennai,100,3.0,6159,Tacos,Fast Food,20-30 min,"Good, but nothing extraordinary."
62,Business District,Ahmedabad,800,3.0,6923,Croissant,Non-Vegetarian,30-40 min,Nothing special but edible.
63,Suburb,Bangalore,600,4.0,910,Pav Bhaji,Non-Vegetarian,30-40 min,Average taste.
64,Business District,Pune,200,3.5,2431,Pani Puri,Healthy,50-60 min,Absolutely loved it!
65,Business District,Hyderabad,700,4.0,9395,Pepperoni Pizza,Vegan,40-50 min,Standard quality.
66,Tech Park,Kolkata,800,4.2,7017,Pancakes,Gluten-Free,30-40 min,Neither great nor bad.
67,Suburb,Ahmedabad,200,3.0,5447,Smoothie Bowl,Healthy,50-60 min,Superb packaging and presentation.
68,Suburb,Bangalore,200,4.7,8558,Idli Sambar,Non-Vegetarian,50-60 min,Absolutely loved it!
69,Residential Area,Bangalore,200,3.0,7549,Choco Lava Cake,Fast Food,50-60 min,Standard quality.
70,Downtown,Bangalore,900,4.2,5089,Dosa,Gluten-Free,50-60 min,My new favorite dish!
71,Residential Area,Pune,400,4.0,214,Poke Bowl,Fast Food,30-40 min,Wouldn't order again.
72,Old Town,Mumbai,200,5.0,5393,Choco Lava Cake,Vegan,50-60 min,Best meal I've had in a while!
73,Business District,Chennai,800,3.0,5958,Salmon Teriyaki,Non-Vegetarian,20-30 min,It was okay.
74,Old Town,Mumbai,800,4.7,9306,Grilled Cheese,Vegan,30-40 min,Perfectly cooked and well-seasoned.
75,Residential Area,Hyderabad,700,4.7,7059,Dosa,Healthy,40-50 min,Highly recommended!
76,Downtown,Chennai,400,3.5,3013,Brownie,Gluten-Free,30-40 min,Perfectly cooked and well-seasoned.
77,Suburb,Pune,600,4.7,5926,Sushi,Healthy,20-30 min,It was okay.
78,Suburb,Mumbai,100,4.2,6169,Dosa,Gluten-Free,20-30 min,"Good, but nothing extraordinary."
79,Downtown,Pune,500,3.0,9250,Pani Puri,Gluten-Free,40-50 min,Absolutely loved it!
80,Residential Area,Bangalore,500,4.7,5338,Pav Bhaji,Healthy,40-50 min,Perfectly cooked and well-seasoned.
81,Suburb,Bangalore,200,4.0,6755,Salmon Teriyaki,Vegetarian,30-40 min,Superb packaging and presentation.
82,Downtown,Chennai,900,4.5,9872,Greek Salad,Fast Food,50-60 min,Perfectly cooked and well-seasoned.
83,Residential Area,Ahmedabad,400,3.5,1123,Chicken Caesar Salad,Vegetarian,30-40 min,Mediocre experience.
84,Residential Area,Ahmedabad,600,4.5,7794,Falafel Wrap,Healthy,40-50 min,"Good, but nothing extraordinary."
85,Tech Park,Delhi,900,4.0,4192,Waffles,Vegetarian,40-50 min,My new favorite dish!
86,Old Town,Chennai,600,4.5,1107,Pancakes,Vegetarian,20-30 min,A decent meal.
87,Downtown,Pune,300,3.5,297,Veg Biryani,Non-Vegetarian,50-60 min,Highly recommended!
88,Old Town,Bangalore,500,4.0,8275,Margherita Pizza,Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
89,Tech Park,Hyderabad,500,5.0,5203,Tacos,Non-Vegetarian,50-60 min,Nothing special but edible.
90,Old Town,Delhi,300,4.2,6401,Smoothie Bowl,Non-Vegetarian,50-60 min,Late delivery ruined it.
91,Tech Park,Mumbai,900,4.0,369,Pav Bhaji,Vegan,40-50 min,Wouldn't order again.
92,Old Town,Kolkata,500,3.0,3469,Tacos,Healthy,30-40 min,Nothing special but edible.
93,Business District,Ahmedabad,400,3.0,3268,Gulab Jamun,Healthy,30-40 min,Superb packaging and presentation.
94,Tech Park,Kolkata,200,3.5,600,Chicken Wings,Non-Vegetarian,50-60 min,Tasty and worth the price.
95,Residential Area,Ahmedabad,100,5.0,6677,Chicken Biryani,Vegan,40-50 min,Absolutely loved it!
96,Old Town,Delhi,100,4.7,9475,Fruit Bowl,Non-Vegetarian,20-30 min,Average taste.
97,Tech Park,Pune,100,4.5,9386,Gulab Jamun,Gluten-Free,20-30 min,Delicious and fresh.
98,Old Town,Mumbai,900,4.7,4837,Fruit Bowl,Gluten-Free,40-50 min,Average taste.
99,Tech Park,Kolkata,900,5.0,592,Momos,Vegetarian,40-50 min,Neither great nor bad.
100,Business District,Ahmedabad,700,5.0,2497,Dal Makhani,Vegan,30-40 min,Highly recommended!
101,Tech Park,Kolkata,600,4.0,7750,Chicken Wings,Fast Food,40-50 min,Would order again if needed.
102,Business District,Ahmedabad,300,3.0,4750,Poke Bowl,Healthy,50-60 min,Mediocre experience.
103,Downtown,Pune,500,3.0,1513,Croissant,Non-Vegetarian,50-60 min,Amazing taste and quick delivery.
104,Old Town,Mumbai,200,4.5,6062,Dal Makhani,Healthy,20-30 min,Tasty and worth the price.
105,Business District,Kolkata,600,5.0,7656,Veg Biryani,Gluten-Free,50-60 min,Tasty and worth the price.
106,Suburb,Delhi,100,3.0,6693,Fruit Bowl,Healthy,20-30 min,Cold and stale food.
107,Residential Area,Delhi,100,4.0,1992,Croissant,Healthy,20-30 min,Tasty and worth the price.
108,Downtown,Bangalore,700,4.2,941,Smoothie Bowl,Healthy,30-40 min,Standard quality.
109,Business District,Mumbai,700,4.2,672,Pancakes,Gluten-Free,50-60 min,Cold and stale food.
110,Downtown,Chennai,800,4.7,7525,Poke Bowl,Fast Food,30-40 min,Delicious and fresh.
111,Tech Park,Pune,700,3.0,3831,Spring Rolls,Gluten-Free,50-60 min,Perfectly cooked and well-seasoned.
112,Residential Area,Ahmedabad,500,3.5,3691,Cheeseburger,Non-Vegetarian,40-50 min,Best meal I've had in a while!
113,Downtown,Chennai,500,3.0,7562,Tandoori Chicken,Healthy,20-30 min,Delicious and fresh.
114,Suburb,Ahmedabad,900,3.0,3486,Steak,Healthy,40-50 min,Perfectly cooked and well-seasoned.
115,Residential Area,Bangalore,500,4.2,722,Poke Bowl,Gluten-Free,50-60 min,Wouldn't order again.
116,City Center,Kolkata,100,4.2,6358,Cold Coffee,Healthy,20-30 min,Not worth the price.
117,Suburb,Kolkata,700,3.0,3029,Steak,Vegan,30-40 min,My new favorite dish!
118,Business District,Delhi,200,4.0,1604,Pepperoni Pizza,Gluten-Free,20-30 min,Perfectly cooked and well-seasoned.
119,City Center,Ahmedabad,100,4.5,1383,Fish and Chips,Vegan,50-60 min,Terrible taste!
120,Business District,Kolkata,400,4.5,1032,Cold Coffee,Non-Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
121,City Center,Mumbai,100,3.0,6313,Cold Coffee,Non-Vegetarian,20-30 min,Not as described.
122,Residential Area,Delhi,700,3.0,7213,Pepperoni Pizza,Non-Vegetarian,30-40 min,Best meal I've had in a while!
123,Old Town,Bangalore,400,4.5,1588,Tacos,Vegan,30-40 min,My new favorite dish!
124,Downtown,Delhi,700,5.0,7869,Ice Cream Sundae,Vegan,30-40 min,Superb packaging and presentation.
125,Business District,Delhi,700,4.2,8960,Ice Cream Sundae,Vegetarian,20-30 min,Delicious and fresh.
126,Business District,Kolkata,700,3.0,2382,French Fries,Healthy,50-60 min,Cold and stale food.
127,City Center,Mumbai,300,4.5,142,Butter Chicken,Non-Vegetarian,30-40 min,Perfectly cooked and well-seasoned.
128,Residential Area,Hyderabad,300,3.0,5044,Spring Rolls,Vegan,30-40 min,A decent meal.
129,Downtown,Pune,600,5.0,5590,Spring Rolls,Non-Vegetarian,30-40 min,"Good, but nothing extraordinary."
130,Tech Park,Mumbai,800,3.5,8879,Grilled Cheese,Vegan,50-60 min,Too spicy and oily.
131,Suburb,Delhi,700,4.7,9054,Shawarma,Fast Food,30-40 min,Tasty and worth the price.
132,Downtown,Ahmedabad,300,5.0,5697,Tandoori Chicken,Vegan,20-30 min,"Good, but nothing extraordinary."
133,Business District,Ahmedabad,700,4.5,3425,French Fries,Vegan,40-50 min,Perfectly cooked and well-seasoned.
134,Tech Park,Kolkata,700,5.0,6202,Smoothie Bowl,Gluten-Free,20-30 min,My new favorite dish!
135,Old Town,Chennai,200,4.2,2609,Lassi,Fast Food,50-60 min,Absolutely loved it!
136,Residential Area,Mumbai,1000,4.5,8967,Dosa,Vegetarian,40-50 min,"Good, but nothing extraordinary."
137,Business District,Pune,200,4.5,3078,Pav Bhaji,Non-Vegetarian,40-50 min,Worst experience ever.
138,Old Town,Delhi,200,3.0,4713,Avocado Toast,Fast Food,40-50 min,Worst experience ever.
139,Downtown,Kolkata,600,4.2,4671,Greek Salad,Healthy,50-60 min,Would order again if needed.
140,City Center,Bangalore,400,3.5,721,Pepperoni Pizza,Fast Food,40-50 min,A decent meal.
141,City Center,Mumbai,900,3.5,8610,Cold Coffee,Fast Food,50-60 min,Highly recommended!
142,Old Town,Bangalore,400,4.7,1629,Falafel Wrap,Vegan,50-60 min,My new favorite dish!
143,Old Town,Kolkata,900,3.0,3285,Gulab Jamun,Vegan,40-50 min,It was okay.
144,Business District,Chennai,100,3.0,1243,Ice Cream Sundae,Non-Vegetarian,50-60 min,Wouldn't order again.
145,Residential Area,Hyderabad,300,4.0,730,Lassi,Vegan,20-30 min,Nothing special but edible.
146,Suburb,Bangalore,700,3.0,295,Pancakes,Fast Food,40-50 min,Perfectly cooked and well-seasoned.
147,Suburb,Hyderabad,800,5.0,2014,Tacos,Vegan,50-60 min,Amazing taste and quick delivery.
148,Suburb,Delhi,500,5.0,6155,Samosa,Fast Food,20-30 min,Standard quality.
149,Business District,Pune,1000,4.7,9556,Fruit Bowl,Vegan,40-50 min,Would order again if needed.
150,Business District,Pune,100,3.5,9831,Greek Salad,Non-Vegetarian,40-50 min,Delicious and fresh.
151,City Center,Chennai,900,4.5,7991,Butter Chicken,Vegan,20-30 min,Too spicy and oily.
152,Business District,Mumbai,700,5.0,7178,Avocado Toast,Vegan,40-50 min,My new favorite dish!
153,Tech Park,Chennai,100,4.7,4432,Dosa,Gluten-Free,30-40 min,Late delivery ruined it.
154,City Center,Hyderabad,400,3.5,5545,Pancakes,Healthy,30-40 min,Nothing special but edible.
155,Old Town,Bangalore,900,4.7,1169,Dosa,Fast Food,50-60 min,Not as described.
156,Downtown,Chennai,600,4.2,523,Smoothie Bowl,Non-Vegetarian,50-60 min,Neither great nor bad.
157,Old Town,Bangalore,800,5.0,1284,Ice Cream Sundae,Vegetarian,20-30 min,Absolutely loved it!
158,Residential Area,Kolkata,300,4.2,3272,Lassi,Vegan,30-40 min,Cold and stale food.
159,City Center,Bangalore,500,4.5,7535,Greek Salad,Fast Food,50-60 min,Delicious and fresh.
160,Tech Park,Mumbai,500,3.5,4912,Gulab Jamun,Fast Food,30-40 min,Highly recommended!
161,Downtown,Hyderabad,500,3.0,1330,Tacos,Gluten-Free,50-60 min,Absolutely loved it!
162,Suburb,Kolkata,800,4.0,1555,Spring Rolls,Vegetarian,40-50 min,Absolutely loved it!
163,Old Town,Pune,700,4.7,3561,Cheeseburger,Non-Vegetarian,50-60 min,Tasty and worth the price.
164,Business District,Pune,800,5.0,6857,Spring Rolls,Gluten-Free,40-50 min,Not worth the price.
165,City Center,Kolkata,900,3.0,8390,Smoothie Bowl,Gluten-Free,20-30 min,Too spicy and oily.
166,Suburb,Hyderabad,300,4.2,6134,Tacos,Non-Vegetarian,50-60 min,Nothing special but edible.
167,Tech Park,Ahmedabad,200,4.5,4858,BBQ Ribs,Healthy,20-30 min,My new favorite dish!
168,Business District,Kolkata,1000,4.5,9986,Pepperoni Pizza,Gluten-Free,20-30 min,Average taste.
169,Business District,Chennai,400,4.7,1744,Pasta Alfredo,Vegetarian,50-60 min,Highly recommended!
170,Suburb,Ahmedabad,500,4.0,3349,Chow Mein,Vegan,20-30 min,Absolutely loved it!
171,Suburb,Delhi,200,3.0,7253,Momos,Vegan,40-50 min,Highly recommended!
172,Business District,Bangalore,200,3.0,6874,Spring Rolls,Fast Food,30-40 min,Superb packaging and presentation.
173,Business District,Ahmedabad,200,3.5,9516,Tandoori Chicken,Gluten-Free,40-50 min,Highly recommended!
174,Suburb,Mumbai,700,3.0,5348,Bubble Tea,Vegan,40-50 min,Superb packaging and presentation.
175,Old Town,Bangalore,300,4.5,8866,Falafel Wrap,Healthy,20-30 min,Worst experience ever.
176,Tech Park,Ahmedabad,300,4.2,8214,Dosa,Non-Vegetarian,30-40 min,Average taste.
177,City Center,Bangalore,200,3.5,9491,BBQ Ribs,Vegan,50-60 min,Average taste.
178,Residential Area,Chennai,1000,3.0,3460,Greek Salad,Vegan,50-60 min,Wouldn't order again.
179,Suburb,Chennai,300,4.2,795,French Fries,Vegetarian,40-50 min,Tasty and worth the price.
180,Downtown,Ahmedabad,300,4.5,3580,Brownie,Healthy,40-50 min,My new favorite dish!
181,Business District,Ahmedabad,100,5.0,6403,Dosa,Non-Vegetarian,20-30 min,Delicious and fresh.
182,Old Town,Delhi,200,5.0,2032,Veg Biryani,Non-Vegetarian,30-40 min,Disappointed.
183,Suburb,Pune,500,3.5,8858,Dosa,Fast Food,50-60 min,Tasty and worth the price.
184,Suburb,Kolkata,800,4.2,4678,Tandoori Chicken,Fast Food,50-60 min,Standard quality.
185,Tech Park,Kolkata,100,4.7,5203,Chicken Wings,Fast Food,30-40 min,Worst experience ever.
186,Old Town,Bangalore,200,4.7,9680,Sushi,Fast Food,30-40 min,Disappointed.
187,Tech Park,Kolkata,200,3.5,4347,Gulab Jamun,Non-Vegetarian,30-40 min,Nothing special but edible.
188,Residential Area,Ahmedabad,800,3.0,4807,Brownie,Vegetarian,20-30 min,Superb packaging and presentation.
189,City Center,Chennai,1000,3.0,7989,Burrito,Vegan,30-40 min,A decent meal.
190,Residential Area,Bangalore,700,3.0,1491,Waffles,Non-Vegetarian,20-30 min,Neither great nor bad.
191,Business District,Bangalore,500,5.0,6720,Bubble Tea,Gluten-Free,30-40 min,My new favorite dish!
192,Residential Area,Bangalore,1000,3.5,2200,Pho,Vegetarian,20-30 min,Not worth the price.
193,Residential Area,Ahmedabad,800,4.2,8379,French Fries,Vegetarian,50-60 min,Wouldn't order again.
194,Residential Area,Delhi,100,4.2,8573,Brownie,Vegetarian,30-40 min,Absolutely loved it!
195,Business District,Kolkata,100,4.0,2013,Pasta Alfredo,Non-Vegetarian,40-50 min,Absolutely loved it!
196,Suburb,Bangalore,600,3.0,7082,Tandoori Chicken,Fast Food,20-30 min,"Good, but nothing extraordinary."
197,Business District,Mumbai,800,4.0,798,Dosa,Non-Vegetarian,20-30 min,Not as described.
198,Tech Park,Delhi,200,3.5,9087,Gulab Jamun,Gluten-Free,50-60 min,My new favorite dish!
199,Business District,Mumbai,300,4.0,6842,Mango Shake,Vegetarian,40-50 min,Average taste.
200,Suburb,Bangalore,300,5.0,9304,Steak,Gluten-Free,30-40 min,Tasty and worth the price.
201,Old Town,Pune,300,4.2,3795,Waffles,Non-Vegetarian,40-50 min,Absolutely loved it!
202,Suburb,Pune,1000,5.0,9580,Falafel Wrap,Vegan,30-40 min,Too spicy and oily.
203,City Center,Chennai,700,4.7,9898,Dal Makhani,Healthy,30-40 min,Not worth the price.
204,Tech Park,Mumbai,400,3.0,4984,Fish and Chips,Vegetarian,30-40 min,Absolutely loved it!
205,Tech Park,Ahmedabad,600,4.2,8709,Pho,Non-Vegetarian,20-30 min,Average taste.
206,Business District,Ahmedabad,1000,4.7,1485,Paneer Butter Masala,Vegetarian,30-40 min,"Good, but nothing extraordinary."
207,City Center,Ahmedabad,500,4.2,3290,Steak,Non-Vegetarian,20-30 min,A decent meal.
208,Suburb,Mumbai,700,4.5,278,Chow Mein,Fast Food,40-50 min,Perfectly cooked and well-seasoned.
209,Suburb,Pune,700,3.0,429,Burrito,Healthy,50-60 min,Amazing taste and quick delivery.
210,City Center,Bangalore,300,5.0,4714,Pani Puri,Fast Food,20-30 min,It was okay.
211,Business District,Ahmedabad,600,4.0,6181,Lassi,Healthy,30-40 min,Perfectly cooked and well-seasoned.
212,Suburb,Ahmedabad,700,4.0,3729,Sushi,Fast Food,30-40 min,Highly recommended!
213,Residential Area,Bangalore,100,5.0,1887,Spring Rolls,Healthy,30-40 min,Cold and stale food.
214,Tech Park,Ahmedabad,1000,4.0,2284,Ice Cream Sundae,Non-Vegetarian,50-60 min,Not as described.
215,Business District,Mumbai,300,3.0,8600,Shawarma,Non-Vegetarian,20-30 min,Best meal I've had in a while!
216,Business District,Ahmedabad,100,3.0,6099,Falafel Wrap,Vegan,30-40 min,Nothing special but edible.
217,City Center,Delhi,1000,3.5,7966,Chow Mein,Gluten-Free,40-50 min,Amazing taste and quick delivery.
218,City Center,Ahmedabad,200,5.0,2766,Dosa,Healthy,30-40 min,Highly recommended!
219,Old Town,Bangalore,800,4.0,6744,Fruit Bowl,Fast Food,40-50 min,It was okay.
220,Suburb,Hyderabad,400,4.2,8381,French Fries,Vegan,40-50 min,Best meal I've had in a while!
221,Residential Area,Delhi,600,4.2,3817,Shawarma,Vegan,30-40 min,Standard quality.
222,Old Town,Chennai,600,4.2,5367,Lassi,Vegan,30-40 min,Absolutely loved it!
223,Suburb,Kolkata,200,4.7,3787,Brownie,Non-Vegetarian,50-60 min,Disappointed.
224,Residential Area,Chennai,400,4.5,3052,Ice Cream Sundae,Fast Food,30-40 min,Would order again if needed.
225,Suburb,Delhi,600,4.0,4334,Fruit Bowl,Non-Vegetarian,30-40 min,"Good, but nothing extraordinary."
226,Downtown,Pune,800,4.5,4308,French Fries,Healthy,30-40 min,Perfectly cooked and well-seasoned.
227,Suburb,Chennai,400,3.5,4556,Veg Biryani,Gluten-Free,20-30 min,My new favorite dish!
228,Downtown,Delhi,200,3.5,717,Cold Coffee,Gluten-Free,20-30 min,Too spicy and oily.
229,Business District,Pune,600,4.0,8025,Margherita Pizza,Gluten-Free,40-50 min,Tasty and worth the price.
230,Downtown,Pune,300,4.5,2302,Fish and Chips,Vegan,50-60 min,Best meal I've had in a while!
231,Suburb,Kolkata,300,4.5,3251,Smoothie Bowl,Vegan,30-40 min,Highly recommended!
232,Tech Park,Hyderabad,900,5.0,917,Waffles,Fast Food,50-60 min,It was okay.
233,Downtown,Mumbai,900,4.0,7698,Fruit Bowl,Vegan,40-50 min,My new favorite dish!
234,Suburb,Hyderabad,900,4.7,788,Chicken Biryani,Fast Food,30-40 min,Nothing special but edible.
235,City Center,Bangalore,500,4.5,9173,Idli Sambar,Gluten-Free,20-30 min,Neither great nor bad.
236,Residential Area,Bangalore,800,4.5,8068,Grilled Cheese,Non-Vegetarian,20-30 min,Best meal I've had in a while!
237,City Center,Hyderabad,900,3.0,1506,Gulab Jamun,Fast Food,50-60 min,Not worth the price.
238,Residential Area,Pune,900,4.5,8314,French Fries,Non-Vegetarian,50-60 min,Standard quality.
239,Old Town,Hyderabad,700,5.0,8902,Bagel,Non-Vegetarian,40-50 min,Absolutely loved it!
240,Tech Park,Ahmedabad,400,4.0,5474,Fish and Chips,Gluten-Free,20-30 min,Highly recommended!
241,Tech Park,Bangalore,800,4.7,5718,Brownie,Vegan,50-60 min,A decent meal.
242,City Center,Ahmedabad,900,4.7,6320,Smoothie Bowl,Healthy,40-50 min,Average taste.
243,Business District,Pune,900,3.5,2198,Ramen,Non-Vegetarian,20-30 min,"Good, but nothing extraordinary."
244,Suburb,Hyderabad,600,4.7,344,Bubble Tea,Fast Food,40-50 min,Highly recommended!
245,Downtown,Mumbai,700,3.0,8895,Steak,Gluten-Free,30-40 min,A decent meal.
246,Residential Area,Bangalore,300,3.5,3572,Pasta Alfredo,Healthy,50-60 min,"Good, but nothing extraordinary."
247,Suburb,Delhi,800,4.5,7666,Gulab Jamun,Healthy,30-40 min,Tasty and worth the price.
248,Downtown,Chennai,900,3.5,6448,Chicken Caesar Salad,Healthy,40-50 min,Terrible taste!
249,Tech Park,Mumbai,400,3.5,8895,Ice Cream Sundae,Fast Food,20-30 min,Delicious and fresh.
250,Downtown,Bangalore,600,4.7,5143,Margherita Pizza,Vegan,20-30 min,Highly recommended!
251,Old Town,Pune,300,4.0,8065,Veg Biryani,Gluten-Free,30-40 min,"Good, but nothing extraordinary."
252,Residential Area,Bangalore,200,4.0,9058,Momos,Fast Food,20-30 min,My new favorite dish!
253,Suburb,Ahmedabad,200,4.0,6490,Samosa,Vegetarian,50-60 min,Standard quality.
254,Downtown,Bangalore,600,3.5,7390,Cold Coffee,Non-Vegetarian,50-60 min,Disappointed.
255,Residential Area,Mumbai,500,4.2,7610,Momos,Non-Vegetarian,30-40 min,Too spicy and oily.
256,Residential Area,Hyderabad,1000,3.5,458,Momos,Vegan,50-60 min,Superb packaging and presentation.
257,Downtown,Hyderabad,500,4.0,5615,Sushi,Gluten-Free,30-40 min,Cold and stale food.
258,City Center,Mumbai,200,3.5,7873,Sushi,Fast Food,20-30 min,A decent meal.
259,Residential Area,Delhi,200,4.2,5279,Choco Lava Cake,Healthy,50-60 min,Disappointed.
260,Downtown,Delhi,500,5.0,8181,Waffles,Gluten-Free,40-50 min,Too spicy and oily.
261,Old Town,Ahmedabad,1000,3.0,8115,Pepperoni Pizza,Vegan,30-40 min,Amazing taste and quick delivery.
262,City Center,Pune,100,4.7,5704,Smoothie Bowl,Vegetarian,20-30 min,Disappointed.
263,Downtown,Bangalore,1000,5.0,4422,Burrito,Vegan,30-40 min,Absolutely loved it!
264,Business District,Ahmedabad,300,3.0,9420,Idli Sambar,Non-Vegetarian,20-30 min,Highly recommended!
265,Old Town,Mumbai,900,4.2,7773,Spring Rolls,Vegan,50-60 min,Mediocre experience.
266,Tech Park,Chennai,700,4.7,8894,Fish and Chips,Non-Vegetarian,40-50 min,Delicious and fresh.
